"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","10","30","95","2","815","802","447","355","13","55.7357","1.3162","5.9","0.5574","52.2788","3.2486","135.303","-5.3417","4.478","10","9","6","3","-9.0909","5.9685","watch_only"
"SOL","5","40","100","2","1071","1055","588","467","16","55.7346","1.3157","7.75","0.5573","52.7219","3.7253","142.8166","-6.8567","5.8846","12","6","7","3","-13.2231","6.2143","reject"
"ETH","10","20","85","2","551","551","307","244","0","55.7169","1.3034","3.95","0.5572","51.5439","2.6839","120.5442","5.4474","3.0275","12","9","5","3","-11.6883","6.4832","watch_only"
"BTC","10","60","55","2","2974","2974","1657","1317","0","55.7162","1.3022","21.3","0.5572","53.9247","6.2346","86.2334","-5.0382","16.3407","17","9","7","4","-9.0909","5.4779","watch_only"
"ETH","10","30","30","2","7715","7707","4294","3413","8","55.7156","1.2997","55.15","0.5572","54.604","10.0354","56.0891","-2.5758","42.3901","23","10","7","5","-0.1608","13.8211","watch_only"
"BTC","10","60","45","2","4410","4410","2457","1953","0","55.7143","1.2987","31.5","0.5571","54.2439","7.5895","74.2887","-4.5068","24.2308","19","9","7","5","-9.0909","3.7938","watch_only"
"ETH","30","20","30","2","5378","5372","2993","2379","6","55.7148","1.2982","38.4","0.5571","54.3829","8.3772","52.9322","-1.7488","29.5495","16","9","7","5","-1.7977","3.9739","watch_only"
"ETH","5","50","35","2","9012","9002","5015","3987","10","55.7098","1.2892","63.9","0.5571","54.6815","10.8349","67.3717","-3.511","49.5165","26","9","7","5","-2.733","4.9672","watch_only"
"ETH","5","30","30","2","7771","7762","4324","3438","9","55.7073","1.2845","54.9","0.5571","54.5997","10.0565","56.2442","-2.5954","42.6978","24","10","7","7","0.1435","11.0283","watch_only"
"BTC","30","60","50","2","3549","3549","1977","1572","0","55.7058","1.2833","25.05","0.5571","54.0663","6.7983","80.0635","-4.7205","19.5","18","9","7","5","-14.0859","4.9323","watch_only"
"ETH","5","40","30","2","9553","9542","5315","4227","11","55.7011","1.2733","66.9","0.557","54.7023","11.1381","58.695","-2.7236","52.489","21","10","7","4","-0.8504","3.4785","watch_only"
"BTC","10","40","50","2","2336","2336","1301","1035","0","55.6935","1.2609","16.2","0.5569","53.6713","5.5036","77.5211","-4.2619","12.8352","17","9","7","5","-16.7951","8.3004","watch_only"
"BTC","30","30","45","2","2099","2099","1169","930","0","55.6932","1.2603","14.55","0.5569","53.5596","5.2166","68.971","-3.1848","11.533","19","11","7","5","-19.5804","4.9869","watch_only"
"BTC","30","50","40","2","4620","4620","2573","2047","0","55.6926","1.2593","32","0.5569","54.2561","7.7386","66.1783","-3.9134","25.3846","21","9","7","5","-2.439","5.5076","watch_only"
"BTC","30","30","50","2","1634","1634","910","724","0","55.6916","1.2574","11.3","0.5569","53.2724","4.6014","75.1344","-3.6327","8.978","16","9","7","5","-20.7459","8.453","watch_only"
"SOL","10","20","60","2","1664","1641","914","727","23","55.6977","1.2511","11.45","0.557","53.2838","4.6162","89.3635","-1.3617","9.1429","17","6","7","3","-7.238","5.9724","reject"
"BTC","5","30","55","2","1381","1381","769","612","0","55.6843","1.2442","9.45","0.5568","53.0521","4.2248","81.337","-3.9289","7.5879","14","9","7","4","-35.4839","11.2853","watch_only"
"BTC","30","50","35","2","5948","5948","3312","2636","0","55.6826","1.2411","40.6","0.5568","54.4169","8.7652","59.7552","-3.5825","32.6813","21","10","7","5","-2.2259","4.557","watch_only"
