rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
169,ETH,10,50,40,2,7327,55.507,11.002,0.5551,6.7443,54.3665,9.4278,7,7,"research_candidate"
170,BTC,5,50,35,2,6081,55.5007,11.0015,0.555,6.7322,54.2486,8.579,7,7,"research_candidate"
171,ETH,5,20,85,2,573,55.4974,10.9948,0.555,6.7257,51.405,2.6319,6,4,"research_candidate"
172,ETH,5,40,20,2,16257,55.4961,10.974,0.555,6.7233,54.7309,14.0154,7,7,"research_candidate"
173,ETH,5,50,30,2,11236,55.4913,10.9689,0.5549,6.714,54.5706,11.6415,7,7,"research_candidate"
174,ETH,10,50,25,2,14170,55.4905,10.9655,0.5549,6.7124,54.6708,13.0715,7,7,"research_candidate"
175,BTC,10,10,25,2,2527,55.4808,10.9616,0.5548,6.6939,53.5362,5.5103,7,6,"research_candidate"
176,SOL,30,40,100,2,999,55.5556,10.9576,0.5556,6.8376,52.4587,3.5119,7,6,"research_candidate"
177,ETH,5,50,50,2,5156,55.4694,10.9324,0.5547,6.6718,54.1092,7.8546,7,7,"research_candidate"
178,ETH,5,30,20,2,13792,55.4742,10.9317,0.5547,6.6811,54.6433,12.8577,7,7,"research_candidate"
179,SOL,30,20,40,2,3823,55.5585,10.9283,0.5556,6.8432,53.9785,6.8736,7,7,"research_candidate"
180,ETH,5,50,25,2,14247,55.4713,10.9281,0.5547,6.6756,54.6539,13.0612,7,7,"research_candidate"
181,ETH,30,20,35,2,4033,55.4674,10.924,0.5547,6.6681,53.929,6.9442,7,7,"research_candidate"
182,ETH,5,20,35,2,4270,55.4567,10.9057,0.5546,6.6475,53.9617,7.1314,7,7,"research_candidate"
183,ETH,10,30,25,2,10127,55.4557,10.8985,0.5546,6.6456,54.4858,10.9805,7,7,"research_candidate"
184,ETH,30,30,35,2,5904,55.4539,10.8949,0.5545,6.6422,54.183,8.3813,7,7,"research_candidate"
185,ETH,30,50,50,2,5028,55.4495,10.8925,0.5545,6.6336,54.072,7.7283,7,7,"research_candidate"
186,ETH,5,20,40,2,3342,55.4458,10.8852,0.5545,6.6266,53.7554,6.2965,7,7,"research_candidate"
187,ETH,10,10,20,2,6441,55.4417,10.8716,0.5544,6.6187,54.225,8.7346,7,7,"research_candidate"
188,BTC,10,50,35,2,6016,55.4355,10.871,0.5544,6.6067,54.1764,8.4319,7,7,"research_candidate"
189,BTC,5,50,60,2,2033,55.4353,10.8706,0.5544,6.6064,53.2665,4.9014,7,6,"research_candidate"
190,ETH,30,20,70,2,920,55.4348,10.8696,0.5543,6.6054,52.207,3.2969,6,5,"research_candidate"
191,BTC,5,10,25,2,2596,55.4314,10.8629,0.5543,6.5989,53.5128,5.5347,7,7,"research_candidate"
192,SOL,5,10,50,2,1144,55.507,10.8527,0.5551,6.7442,52.6135,3.7253,7,7,"research_candidate"
193,BTC,10,30,60,2,1079,55.4217,10.8434,0.5542,6.5802,52.4418,3.5618,7,6,"research_candidate"
194,ETH,10,60,40,2,8440,55.4265,10.8428,0.5543,6.5895,54.3639,9.9707,7,7,"research_candidate"
195,BTC,30,40,55,2,1839,55.4105,10.8211,0.5541,6.5587,53.1298,4.6405,7,6,"research_candidate"
196,SOL,10,30,55,2,3070,55.4723,10.8143,0.5547,6.6775,53.7085,6.0642,7,7,"research_candidate"
197,BTC,5,10,30,2,1711,55.4062,10.8124,0.5541,6.5504,53.0414,4.4725,7,7,"research_candidate"
198,ETH,5,40,40,2,6165,55.4096,10.8104,0.5541,6.5569,54.1658,8.4949,7,7,"research_candidate"
199,SOL,5,50,95,2,1595,55.4859,10.8091,0.5549,6.7036,53.0366,4.3819,7,6,"research_candidate"
200,ETH,5,60,60,2,4384,55.406,10.8071,0.5541,6.55,53.9305,7.1588,7,7,"research_candidate"
