asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 47 Diff Down Progress","Down","Up",47,52230,2,8,8,0,5,3,62.5,13,13,5,38.46153846,1.625,3,0,3,1,1,0,0,"2026-06-02T23:00:00.0000000+00:00","2026-06-02T23:40:00.0000000+00:00"
"BTC","BTC Up or Down 5m 46 Diff Up Progress","Up","Down",46,52230,3,3,3,0,3,0,100,3,3,3,100,1,1,0,0,1,1,0,0,"2026-04-17T22:35:00.0000000+00:00","2026-04-17T22:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 48 Diff Down Progress","Down","Up",48,52230,2,4,4,0,3,1,75,5,5,3,60,1.25,2,0,1,1,1,0,0,"2026-06-02T23:05:00.0000000+00:00","2026-06-02T23:35:00.0000000+00:00"
"BTC","BTC Up or Down 5m 49 Diff Down Progress","Down","Up",49,52230,1,1,1,0,1,0,100,1,1,1,100,1,1,0,0,1,1,0,0,"2026-06-02T23:30:00.0000000+00:00","2026-06-02T23:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 47 Diff Up Progress","Up","Down",47,52230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"BTC","BTC Up or Down 5m 48 Diff Up Progress","Up","Down",48,52230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"BTC","BTC Up or Down 5m 49 Diff Up Progress","Up","Down",49,52230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"BTC","BTC Up or Down 5m 50 Diff Up Progress","Up","Down",50,52230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"BTC","BTC Up or Down 5m 50 Diff Down Progress","Down","Up",50,52230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
"BTC","BTC Up or Down 5m 22 Diff Up Progress","Up","Down",22,52230,98,1261,1258,3,628,630,49.92050874,7284,7269,-5,-0.06878525,5.77636796,10,256,293,23,16,7,0,"2025-12-30T08:15:00.0000000+00:00","2026-06-13T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 21 Diff Up Progress","Up","Down",21,52230,130,1475,1472,3,744,728,50.54347826,8435,8418,-8,-0.09503445,5.71864407,10,324,325,24,17,7,0,"2025-12-30T08:10:00.0000000+00:00","2026-06-13T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 20 Diff Up Progress","Up","Down",20,52230,147,1738,1734,4,875,859,50.46136101,9764,9744,-10,-0.10262726,5.61795167,10,409,356,27,19,7,1,"2025-12-30T07:55:00.0000000+00:00","2026-06-13T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 19 Diff Up Progress","Up","Down",19,52230,152,2019,2015,4,1007,1008,49.9751861,11292,11269,-17,-0.15085633,5.59286776,10,491,394,32,22,9,1,"2025-12-30T07:50:00.0000000+00:00","2026-06-13T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 10 Diff Up Progress","Up","Down",10,52230,504,6793,6775,18,3412,3363,50.36162362,39797,39703,-33,-0.08311714,5.85853084,10,1738,604,78,60,18,0,"2025-12-29T04:35:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 18 Diff Up Progress","Up","Down",18,52230,162,2313,2309,4,1146,1163,49.63187527,13037,13011,-33,-0.25363154,5.63640294,10,568,421,37,26,10,1,"2025-12-30T07:45:00.0000000+00:00","2026-06-21T20:10:00.0000000+00:00"
"BTC","BTC Up or Down 5m 12 Diff Up Progress","Up","Down",12,52230,372,5189,5176,13,2590,2586,50.03863988,30291,30223,-43,-0.14227575,5.83754095,10,1261,582,65,50,15,0,"2025-12-30T06:15:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 14 Diff Up Progress","Up","Down",14,52230,287,3952,3942,10,1968,1974,49.9238965,22922,22871,-45,-0.19675572,5.80010121,10,939,521,58,45,13,0,"2025-12-30T06:35:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 15 Diff Up Progress","Up","Down",15,52230,254,3440,3431,9,1713,1718,49.92713495,19909,19866,-46,-0.23155139,5.7875,10,824,493,51,38,13,0,"2025-12-30T06:40:00.0000000+00:00","2026-06-28T08:00:00.0000000+00:00"
